,College Name,Admissions Rate,Yield,Men Admissions Rate,Women Admissions Rate,Men Applied,Men Admitted,Men Enrolled,Women Admitted,Women Applied,Women Enrolled,Number of ED Applicants,Number of ED Applicants Admitted,EA Deadline,EA Notification,ED I Deadline,ED I Notification,ED II Deadline,ED II Notification,Average GPA,SAT Math 25%,SAT Math 75%,SAT Reading 25%,SAT Reading 75%,GPA >3.75,GPA >3.50,GPA >3.25,GPA >3.00,GPA >2.50,GPA >2.00,GPA >1.00 ,SAT Math (200-299),SAT Math (700-800),SAT Math (600-699),SAT Math (500-599),SAT Math (400-499),SAT Math (300-399),SAT Reading (700-800),SAT Reading (600-699),SAT Reading (500-599),SAT Reading (400-499),SAT Reading (300-399),SAT Reading (200-299),filename
0,Baylor University,,,,,,,1336.0,,,,,,2019-11-01 00:00:00,2020-01-15 00:00:00,,,,,,680.0,637.0,680.0,638.0,,,,,,,,0.0,0.2,0.51,0.28,0.01,0.0,0.18,0.6,0.2,0.02,0.0,0.0,baylor_university.txt
1,University of Pennsylvania,0.09296513498131789,0.6537130689379824,0.08532440021675945,0.1006761459679825,20299.0,1732.0,1157.0,2025.0,20114.0,1299.0,6147.0,1354.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,,,,720.0,790.0,700.0,770.0,0.85,0.09,0.05,0.01,,,,1.0,0.8440000000000001,0.147,0.009000000000000001,,,0.7979999999999999,0.183,0.019,,,1.0,upenn.txt
2,Whitman College,0.5172751776525362,0.1842728564661298,0.5148514851485149,0.5188640973630831,1616.0,832.0,159.0,1279.0,2465.0,230.0,179.0,127.0,,,2019-11-15 00:00:00,2019-12-20 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,3.75,620.0,730.0,630.0,720.0,0.5,0.29,0.11,0.08,0.02,0.0,0.0,0.0,0.41,0.4,0.17,0.02,0.0,0.43,0.43,0.13,0.01,0.0,0.0,whiteman_college.txt
3,Illinois Institute of Technology,0.5405692438402718,0.1850687622789784,0.5063526495196777,0.6151249155975692,3227.0,1634.0,322.0,911.0,1481.0,149.0,,,,,,,CDS-C Page 11,,,650.0,730.0,580.0,680.0,,,,,,,,0.0,0.4744,0.4744,0.0512,0.0,0.0,0.2051,0.4808,0.26280000000000003,0.0513,0.0,0.0,illinois_institute_of_technology.txt
4,Pomona College,0.07613469985358712,0.5282051282051282,0.09214160180768265,0.06595336953050143,3983.0,367.0,188.0,413.0,6262.0,224.0,1250.0,207.0,,,2019-11-01 00:00:00,2019-12-15 00:00:00,2020-01-01 00:00:00,2020-02-15 00:00:00,,700.0,780.0,695.0,750.0,,,,,,,,0.0,0.7702,0.19760000000000003,0.0323,0.0,0.0,0.75,0.2419,0.008100000000000001,0.0,0.0,0.0,pomona.txt
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,renseler_polytechnic_institute.txt
6,Dickinson College,0.4871233799023733,0.2093987560469938,0.4841930116472546,0.489115069267741,2404.0,1164.0,260.0,1730.0,3537.0,346.0,376.0,257.0,2019-12-01 00:00:00,2020-02-15 00:00:00,2019-11-15 00:00:00,Mid-December,2020-01-15 00:00:00,Mid-February,,610.0,720.0,620.0,700.0,,,,,,,,0.0,0.3311,0.4915,0.17059999999999997,0.0068000000000000005,0.0,0.2662,0.6143,0.1195,0.0,0.0,0.0,dickinson_college.txt
7,CORNELL UNIVERSITY,0.12674589170688152,0.5617242536061724,0.10994490690473319,0.14558903121053582,24867.0,2734.0,1577.0,3228.0,22172.0,1772.0,5401.0,1393.0,,,2019-11-01 00:00:00,Mid-December,CDS-C Page 11,,,700.0,790.0,690.0,760.0,,,,,,,,0.0,0.759,0.205,0.036000000000000004,0.0,0.0,0.713,0.258,0.028999999999999998,0.0,0.0,0.0,cornell_university.txt
8,University of Southern California,,,,,,,,,,,,,,,,,CDS-C Page 11,,3.76,650.0,770.0,650.0,730.0,0.6372,0.2275,0.0832,0.0346,0.0143,0.0033,0.0,0.0,0.575,0.3043,0.10830000000000001,0.011699999999999999,0.0007000000000000001,0.4623,0.455,0.0732,0.0088,0.0007000000000000001,0.0,usc.txt
9,University of California - Merced,0.7416698582918422,0.13168086754453912,0.7256582343830666,0.7555119164509506,9685.0,7028.0,973.0,8464.0,11203.0,1067.0,,,Early action notification date,,,,Other early decision plan notification date,,,,,420.0,520.0,0.221,0.28600000000000003,0.28,0.21,0.003,0.0,0.0,,0.006,0.053,0.287,0.528,0.121,0.017,0.10400000000000001,0.36700000000000005,0.43,0.079,,uc_merced.txt
